id,image_url,title,category,color
14976,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0369_2_512x.jpg?v=1738911926,Zorelle|Trucotton Midi Length Milkmaid Dress,dresses,Purple
14977,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_111ad1b5-c2e7-4b36-ac41-1ce468423186_512x.jpg?v=1739277317,Abril|Trucotton Embroidery Detail Midi Dress,dresses,Pink
14978,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB8_fcda8e23-c2a4-4c5d-8c31-1faf75d8d5a0_1600x.jpg?v=1739270355,Jayden|Blue Straight Flared Denims,bottoms,Blue
14980,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB2_f7472dc7-88a4-447c-afa9-1c38fc2a7eda_1600x.jpg?v=1739271372,Renata|Blue Strappy Midi Dress,dresses,Blue
14981,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/web3_4c3551ed-70e4-4961-85e4-38b010323ffd_512x.jpg?v=1739269261,Elyanna|Off-Shoulder Sweatshirt,tops,Tan
14982,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSO2447404002_6e37c57f-35ef-4492-9e76-5c68d25af648_512x.jpg?v=1745851428,Ayla Shorts|Pink Pull-On Shorts,bottoms,Pink
14983,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1654_1600x.jpg?v=1738770643,Pola Shorts|Blue Pull-On Shorts,bottoms,Blue
14984,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSS2447404002_f048c4db-f9e2-419d-ad99-020cb5a92a10_512x.jpg?v=1745851427,Ayla Hoodie|Cropped Boxy Pink Hoodie,tops,Pink
14985,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0064_3_3d36854f-b9ee-4665-aae0-6cc8805b77a2_512x.jpg?v=1748851200,Palmira Shirt|Rescued Polyester Abstract Print Shirt,tops,Teal
14987,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0004_6_512x.jpg?v=1737629516,Paz Top|Rescued Polyester Abstract Print Top,tops,Teal
14988,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0363_2_512x.jpg?v=1737628748,Valentina|Trucotton Midi Length Milkmaid Dress,dresses,Green
14989,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0112_2_512x.jpg?v=1737629152,Louisa Top|Rescued Polyester Vneck Floral Print Top,tops,Off White
14990,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB12_1600x.jpg?v=1738833980,Capri|Peplum Denim Cami Top,tops,Blue
14991,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_f698307f-c388-4171-ae01-68e9d2346c6f_1600x.jpg?v=1738833563,Archer|Blue Regular Flared Denims,bottoms,Blue
14992,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1656_1600x.jpg?v=1738831875,Pola|Cropped Hoodie & Shorts Co-ord,dresses,Blue
14994,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_1_916f6ef3-ea63-4561-8b89-72307aadc745_512x.jpg?v=1739430462,Zoey|Oversized Black T-Shirt,tops,Black
14995,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWCO2447404002_0bf68c90-5bd2-4aa7-a33c-52a6fe003267_512x.jpg?v=1745851427,Ayla|Hoodie & Shorts Co-Ord Set,dresses,Pink
14996,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB1_558d0733-4f95-4d7c-9bc0-1a2c742b79da_512x.jpg?v=1739271237,Precious|Smocked Peplum Top With Bow,tops,Off White
14997,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSS2447405901_60182a30-4949-4a6d-8aad-a76b4d59cb1d_512x.jpg?v=1745851427,Kai|Cropped Elasticated Hoodie,tops,Green
14998,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF2213_512x.jpg?v=1741345294,Cookie|Black Bow Knot Tie-Up Top,tops,Black
